符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
281	,"2204.TW","中華","56.2","-2.94","1323","31113000000",6.71
282	,"2206.TW","三陽工業","63.5","-1.09","1246","49128000000",-13.38
283	,"2207.TW","和泰車","486","-1.42","807","270751000000",48.36
284	,"2208.TW","台船","19.9","-4.1","9311","23054000000",14.86
285	,"2211.TW","長榮鋼","94.2","-1.05","1391","39289000000",47.25
286	,"2221.TW","大甲","52.6","-9.93","2613","2226000000",34.65
287	,"2227.TW","裕日車","50.1","-0.4","87","15030000000",-1.91
288	,"2228.TW","劍麟","78.3","-2.97","202","6246000000",2.24
289	,"2230.TW","泰茂","21.95","-1.79","457","1493000000",-20.49
290	,"2231.TW","為升","109.5","-7.2","1265","14884000000",-17.9
291	,"2233.TW","宇隆","218.5","-4.79","1931","13172000000",7.58
292	,"2235.TW","謚源","27.8","0","8","997000000",-17.86
293	,"2236.TW","百達-KY","161","0","539","9961000000",75.65
294	,"2239.TW","英利-KY","19.85","-1.49","207","2336000000",-19.68
295	,"2241.TW","艾姆勒","36.55","-6.16","1250","3823000000",125.11
296	,"2243.TW","宏旭-KY","52","-1.89","773","3607000000",-40.08
297	,"2247.TW","汎德永業","224","-0.67","94","18078000000",-6.99
298	,"2248.TW","華勝-KY","62.5","-4.43","392","2975000000",106.59
299	,"2250.TW","IKKA-KY","61.8","-3.89","384","2248000000",-3.65
300	,"2301.TW","光寶科","196.5","-9.86","28680","455115000000",36.98
301	,"2302.TW","麗正","40.3","-9.84","3868","6701000000",45.71
302	,"2303.TW","聯電","144","-10","252067","1811085000000",22.85
303	,"2305.TW","全友","32.15","-6.54","4891","6611000000",142.33
304	,"2308.TW","台達電","1740","-8.66","14249","4519724000000",55.43
305	,"2312.TW","金寶","31.3","-6.85","22527","47130000000",32.7
306	,"2313.TW","華通","212","-9.98","34564","261569000000",20.96
307	,"2314.TW","台揚","12.8","-4.12","163","1358000000",24.72
308	,"2316.TW","楠梓電","159.5","-9.89","2695","29147000000",27.83
309	,"2317.TW","鴻海","234","-3.51","69007","3282703000000",52.11
310	,"2321.TW","東訊","16.45","5.79","24","234000000",1.53
311	,"2323.TW","中環","10.25","-6.39","12750","11165000000",38.84
312	,"2324.TW","仁寶","36","0.14","100499","158657000000",58.38
313	,"2327.TW","國巨*","699","-9.92","47312","1447954000000",38.91
314	,"2328.TW","廣宇","46.2","-6.38","4009","23947000000",-0.74
315	,"2329.TW","華泰","45.15","-7.76","7799","29751000000",3.62
